stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,14,16,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,0.85,0.56,1.41,0,0,0,0,0,0,0,0,0,0.28,2.54,0.28,0.56,0,0,0.28,0,118.66,4.79,0,0,1.13,0,0,1.13,0,0,0,0,0
21Day,0.74,0,0,3.7,0,2.59,0.74,0,0,0,0,1.48,0.74,1.11,0,0,4.07,1.11,2.96,0,0,1.11,0,70.3,1.11,0.37,0.74,1.85,2.59,0.37,0.37,0.37,0.74,0,0,0.74
3Month,0,0.21,0.1,3.02,0,0,0.1,0,0.31,0.62,0,3.33,0.31,0.21,1.25,0.31,0.73,1.87,0.83,0.42,0,0,0.21,4.58,0,0.83,0.21,0.21,0,1.35,0.1,0.1,0,0.21,0.42,1.04
22Month,0,0.14,0,0.82,0,0,0,0.14,0.14,0.68,0.14,6.01,0.27,0,1.5,0,0.14,1.78,1.37,0,0.27,0.14,0,5.06,0.14,0.68,0.14,0,0,0.82,0.41,0.14,0,0,0,0.68
