stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,32.69,1.97,0,0,0.28,0,0,0,0.28,0.28,0.28,0,0
21Day,0.37,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,32.93,0.74,0,0.37,0.37,0,0,0,0,0.74,0.37,0,0
3Month,0.21,0.21,0.1,1.87,0,0.1,0,0.31,0,0,4.58,0.62,0.1,0.52,0.21,0.52,0.42,0.31,0.1,0,0.1,0.31,0.42,0,0.1,0,0.1,0.1,0.1,0.83,0,0,0,5.3,0.62
22Month,0,0.27,0.14,1.37,0,0,0.55,0.14,0.96,0.41,21.18,0.41,0.27,2.05,0.27,0.68,1.23,1.23,0,0.96,0,0,0.41,0,0.27,0.14,0,0,0,0.41,0,0,0,0,0.41
