stage,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,2,0
72hpf,0,0,0.56,0,0.28
21Day,0.37,0,0.37,0,0
22Month,0,0.41,0,0,0
