stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0.56,0.28,0.85,0,0,0
21Day,0,1.11,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0,0,0,0,0
3Month,0,0.73,0,0,0.1,0.21,0,0,0.42,0,0.31,0.1,0.21,0,0.42,0.21,0,0,0,0.31,0.1,0.1
22Month,0.27,0,0,0.14,0,0,0.14,0,2.73,0.14,0.96,0,0,0.41,0.55,0.14,0,0.14,0,0.68,0,0
