stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0.28,0,0.85,0,0,1.13,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0.37,0,1.11,0,0,1.85,0.37,0.37,0,0,0.37,0,0,0
3Month,0.31,0.62,0.1,0.52,0,0.62,0.1,0.83,0.31,0.1,0.83,0.21,0.1,0,0,0.21,0.21,0.21,0,0.31,0.1,0.1
22Month,0.27,0.27,0,0,0.14,3.55,0,0,0,0.27,0,0,0.14,0,0,0,0,0,0,0.14,0,0
