stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,0.28,0,0.56,0,83.43,0,0,0,0,0,0,0,0,0.28,0,0.28,3.38,0,0,0,0,0,0,0,0
21Day,2.22,0.37,2.96,0.74,501.7,0,19.24,0,0,0.37,1.48,0.37,0.37,2.59,4.44,4.07,8.14,1.85,0.37,1.85,9.62,1.11,0.74,5.18,0.74
3Month,0,0,0.1,0,0,2.29,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0
