stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,4,6,0,0,0,0,0,0
72hpf,2.82,2.54,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,44.25,0,9.02,4.51,2.25,18.04,0,0,0.28,0,0,0
21Day,1.11,0.37,0.37,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,29.97,0,27.01,1.85,0.74,2.59,1.11,0,0,0,0,0
3Month,0.1,0.62,0.94,0,0,0.1,0.1,0.1,0.21,0.21,1.14,0.1,1.04,0.21,0.31,0.31,7.39,2.6,0.62,0,0,0.31,0.31,0.1,0,26.84,0.52,0.1
22Month,0,0,0,0,0,0,0,0,0,0.14,1.23,0,0,0,0.14,0.14,2.05,0.27,0.82,0.14,0,0.27,0,0.27,0,3.69,0,0
