stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,1.13,0,0,0.56,0,0,0,0
3Month,0,0.62,0,0,0.1,0.52,0,0.21,1.04,0,0.1,0.1,0.62,4.47,0.52,0,0,0.1,0.21,0.1,0.1
22Month,0.14,0.14,0.14,0.14,0.14,10.8,0.27,0.68,0,0.14,0.14,0.14,0,6.15,0.41,0.14,0,0,0,0.14,0
