stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,6.76,2.54,0.56,0,0,0,0,0,0,0,0,0,0,21.42,0,1.97,0,113.02,5.07,0,0.56,3.1,0,0,1.13,1.69,0.28,0.56,0,0,0
21Day,2.96,0,28.12,2.96,3.7,0,0.37,0.37,0,0,0.74,0,1.11,0.74,1.11,20.35,0.74,6.66,4.81,98.79,3.33,1.11,0.37,4.44,4.81,0.37,1.11,0.74,1.85,0,0,0,0.74
3Month,0,0.52,10.92,0.1,0,0.1,0,0.31,0.42,0,2.08,0.31,0.1,0.62,0.21,1.77,0.52,0.31,6.14,0.1,0.1,0.31,0,0.1,0.1,1.14,0.21,0,0,0,0.31,0.31,0.31
22Month,0,2.32,1.91,0,0,0.14,0,0.14,0.14,0,9.29,0.55,0.14,0.55,0.14,0,0.68,0.68,1.09,0.27,0,0.14,0.14,0,0,0.14,0.27,0,0,0,0,0,0.27
