stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,30,0,0,39,1,0,0,1,0,0,0,0,4,4,0,36,0,0,27,206,0,1,0,0,0,0,0,0
72hpf,0.56,0.56,0,1.69,0,0,0,0,0,0,0,0,1.69,1.97,0,0.85,0,0,5.64,2.25,0,2.54,0,0,0.56,0,0,0
21Day,0.74,0,1.11,1.48,0.37,0,0,0,0,0.37,0.37,0,0,1.11,0,1.48,0,0,1.85,0,0.37,2.22,0,0,0,0.37,0,0
3Month,0,0,2.91,2.29,0,1.35,0.1,0,0.62,0.21,0,3.95,0,0.52,0,0.31,0.1,0.83,0.1,0,0,0,0.21,1.04,0,0,2.29,0.1
22Month,0,0.14,0.55,0,0,0.41,0.14,0,3.55,0,0,0.96,0.14,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0.68,0,0,0,0
