stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.85,3.66,0.28,0,0,0,0,0,0,0,0,0.85,0.28,4.51,0,0,0.56,2.82,12.4,0,0.28,6.2,0,0.28,10.99,0,0.28,0,0
21Day,0,0,0,0.74,0.37,0,0,0,0,0,1.11,0.74,0,0.74,0,18.87,0,0,0,9.25,11.84,0,0,4.07,1.11,0,7.77,0.37,0,0,0
3Month,0,0,0.31,0,0,0,0.31,0,1.14,0.1,0,0.1,0.1,0.21,0.21,1.25,0.1,0,0,0,0.83,0,0,0,0.1,3.02,0.73,0,0,1.46,0.21
22Month,0,0.14,0.41,0.27,0,0.14,0.41,0.41,3.83,0.14,0,0.68,0,0,0.55,1.09,0,0.41,0,0.14,0.41,0.14,0,0,0,5.47,4.65,0,0,0,0.14
