stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0.74,0,0.37,0,0
3Month,1.35,0,0.1,2.5,0,0,0.1,0.1
22Month,0,0.27,0,0,0.14,0,0,0
