stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,2,0,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0
72hpf,0.28,0.28,0.28,0.28,0.28,0,0,0,0.28,0,1.13,38.05,1.41,2.25,0.85,0,0.56,0.28,0
21Day,0.74,0,0,0,0,0,0,0.37,0.74,0,2.22,21.46,0.74,1.48,0.37,0.37,0,1.48,0.37
3Month,0,0,0,0,0,0.42,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
22Month,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0
