stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,23,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,2.82,1.69,0,0,0,1.69,0,0,0,0,0.56,0,1.41,128.52,1.41,0,0,0,0,0,7.61,3.38,0,0,0,1.13,0,0,0,1.13,0,0,0.28,0,0,0
21Day,1.11,0,0.37,23.68,2.22,0,0,0,7.4,0,0,0.37,0.37,9.25,1.48,1.11,12.95,32.56,1.11,0,0,0.37,0,2.22,1.11,0,0,0,0.37,0.74,0,0.74,0,0,1.48,0.37,0,0,4.07
3Month,0.31,2.29,4.06,56.38,0,0.83,0.1,47.95,114.63,0,0,13.31,16.12,2.7,104.43,6.24,2.39,82.59,3.43,1.25,0,29.54,6.45,0.83,0,1.46,0.52,0,0,1.66,0.21,7.07,0.31,0,0,0,1.04,2.5,5.62
22Month,0.14,0.68,3.42,18.58,0,1.5,0,18.45,271.25,0.27,0,17.08,4.65,3.01,107.54,1.23,0.96,58.35,1.64,0.27,0.82,18.04,0.96,0.14,0,0.82,0.27,0.55,0.14,0.27,0,2.87,0.41,0.41,0,0,0,0,5.33
