stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,0,0,0.28,0,0,0,0,0,0,0,1.41,0,0.85,6.48,0,2.82,0,3.1,0,0,2.54,1.13,0,0,0,1.13,0,0,0.28,0.28,0,0.28,0,0,0
21Day,0,0.37,1.48,12.58,0,0,0.74,0,0,2.59,0,0,0.74,0,6.29,2.22,1.11,9.99,6.29,3.7,0,0.37,0,0.37,0.74,0,0,0,0,0.74,1.85,0,1.11,0,0,0,0,0,5.92
3Month,0.31,9.26,10.51,187.44,0.1,3.64,1.87,0.73,71.25,62.83,0.31,0,228.84,49.41,12.48,259.52,12.07,64.8,65.53,60.02,20.18,0.62,3.85,9.57,1.46,1.14,1.87,0.83,0,0.73,7.07,0,16.95,0.1,0.21,1.04,5.3,4.89,99.44
22Month,0.27,30.34,11.48,87.32,0,4.24,2.46,0.41,24.6,72.15,34.98,0,482.1,27.06,20.77,170.27,4.24,16.4,64.36,68.6,2.87,14.76,2.6,0.27,1.64,0.55,1.37,0.68,1.5,0.68,1.91,0.14,17.08,2.6,0.68,0.41,4.92,0.14,52.47
