stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,2.54,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,9.99,0,0,0,0,0,0,4.44,0,0.37,0,0.37,0,0,0.37,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.21,0,7.07,0.42,1.56,2.6,0.94,1.25,0.31,45.56,0.83,1.66,0.31,0,0.1,0.42,0.1,0,0.31,0.52,0.31,0,0,0.31,0.31,1.04
22Month,0,0,0.41,0.41,0.68,0,0.27,0,0.14,0,0.68,0,0.55,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0
