stage,Endothelial_cell,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell
3Month,0,0,0,0,0.1,0.1,0,0.1
22Month,0.14,0.14,0.14,0.14,3.28,0.14,0.14,0
