stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0,0,0,0,0,0,0.28,3.38,0.28,0,0,0,0.85,0.56,0,0.56,0,0.28,0,0,0.28,0,0,0
21Day,8.88,0,1.11,0.74,0,0,0,1.11,0,8.88,0,0.74,0.37,0,0,0.37,0.37,0,0,0.74,0,0,0,0,0,0
3Month,3.22,0,0,2.81,0.1,1.04,0.42,1.66,0.1,1.25,0.62,0.1,0.31,0.21,0,0,0,0,0,0,0.1,0.42,0,0.1,0.52,0.21
22Month,0,0,0,0.41,0.41,2.19,0,0.14,0,0.27,0.27,0.14,0.14,0,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0
