stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,1.11,1.11,0.74,0,0.37,0,0,0.74,0,8.14,0,0.37,0,0,0,0,0,0,0,0.37,2.22,0,0,0,0,0,0,0.37,0,0,0
3Month,0.31,3.74,8.53,0,0.21,7.91,0.62,0,10.09,0.31,66.47,0.42,1.14,2.18,0.94,0.21,0,3.85,0.1,0.21,0,2.81,0,0,0.1,0.83,0,0,0,0.1,0.94,0.52
22Month,0.41,3.83,6.97,0,0,10.11,0.96,0.41,11.07,0,89.1,0,0.41,0.68,0.96,0,0.14,3.96,0,0.14,0.14,4.37,0.55,0,0.14,0,0.27,0.14,0,0,0,0.14
