stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,2.82,0,0,0,0,0,0,0.56,1.69,0,0.28,0,0,0,0,0,0,1.97,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.74,0,0,0,0.74,0,4.44,0,0,0,0,0,0
3Month,0.1,0.42,0.42,4.89,0,0,0.1,0.1,0.31,1.35,0.1,4.37,1.14,2.08,0.31,1.25,1.87,1.98,0.42,0.1,0.73,0.83,0.1,0,0,0.21,0,0.21,2.29,212.61,0.1,0,0,0.31,6.55,1.56
22Month,0,0.14,0.14,0.55,0.14,0,0,0,0,1.78,0.14,2.73,0,0.27,0.14,0,0.55,0.68,0.14,0.27,0.14,0,0.14,0,0.14,0.14,1.91,0,0.14,31.98,0,0.27,0,0,0,0.27
