stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0
3Month,0.42,0,0.1,0,0.52,0.1,0.31,0,0.21,0.1,0,0,6.87,0.1,0,0.73
22Month,0.27,0.27,0,0.14,0.27,0,0.41,0.14,0.14,0,0,0,0.27,0,0,0
