stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3Month,0.1,0.83,0.1,1.25,0.21,0.21,0.1,0.1,0.21,0,0.1,0,0.1,6.76,0,15.6
22Month,0,0,0,1.91,0,0.27,0,0,0,0.14,0,0,0,3.42,0.14,0.14
