stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,1.13,0.85,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0.37,0,0,0.37,0.74,0,0,0
3Month,0.42,1.35,0,0.1,0.21,0,0.94,0.1,0.31,0.1,0.1,0.21,0.21,0,0.1,0.1,0.31,0,0.1,0.1,3.85,0,0.21,0.21,13.42
22Month,0,0.55,0,0,0.41,0.27,3.14,0,0.14,0,0,0.14,0,0.14,0,0,0.27,0,0,0,0.68,0,0,0,0
