stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,8,4,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.13,1.69,0,0,0,0,0,0,0,0,0,0.28,1.41,0.56,0.85,0,0,0,0,7.33,4.23,0,0,3.1,0,0,0.56,0.56,0,0,0
21Day,1.11,0,0.37,3.7,1.85,0,1.11,0,0,0,0.37,0,1.11,0.74,0,1.85,1.48,3.7,0,0,0.37,0.37,2.96,1.11,0.37,0,1.85,0.37,0,0.37,0,0,0,2.59
3Month,0,0.42,0.21,2.5,0,0.1,0,1.04,2.6,0,18.2,3.43,0,2.91,0.42,2.08,2.39,1.14,0.1,0,1.56,0.42,0.42,0,0.1,0.31,0.1,0.42,1.46,0,0,0.52,1.98,1.46
22Month,0,0.14,0,1.37,0,0,0,0.14,2.05,0.14,26.78,0.96,0.27,1.91,0,0.14,1.37,0.41,0,0.82,0.27,0.14,0,0.14,0,0.55,0,0,0.27,0,0,0,0,0.27
