stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,1,0,0,0,0,0,1,10,0,4,55,0,1,0,0,6
72hpf,0.28,0.28,0.28,0.28,0,0.28,0,0.56,1.41,5.36,0,25.65,14.66,3.38,2.54,0.28,0.85,2.54
21Day,0,0,0,0.37,0,0,0.37,0,0.74,1.85,0.37,7.4,9.25,0.37,0,0.74,2.22,0
3Month,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.27,0,0,0
