stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.74,0.74,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37
3Month,0.1,1.77,0,0.1,0.31,0,1.04,0,0,1.04,0.1,0.1,0.52,0.21,0.21,0.1,0,0.1,0.1,0,0,0.62
22Month,0,0,0,0,0.27,0,0.41,0.14,0,0.14,0,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0
