stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0.56,0,0,0.28,0,0,0.28,2.54,7.05,0,0
21Day,0.74,0,0,0,0,0,0,0.74,0.37,0.37,0,0,2.96,0.74,0,0.37,0.37,0.37,0,0,18.5,78.81,0,0.37
3Month,0.52,0.1,0.1,0.62,0.1,0.31,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0.21,0,0,0.1,4.37,0,0.1,0,22.36,0
22Month,0.14,0.14,0,6.15,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0.27,0.14,0,0,0,0
