stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,5,26,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0.28,2.82,0,0,0,0,3.66,1.97,1.69,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.55,0,0.74,0,0.37,0,0,0,0,0,0.74,0,1.11,4.07,0.74,0.74,0,2.96,0,0,0.37,0,3.33,1.11,3.33,0,0.74,0,0,0.37,0.37,0,0,0,0.37
3Month,0.73,1.04,3.54,17.16,0.1,0,1.66,0.1,0.31,6.14,4.37,0.1,0,618.69,5.72,0.42,61.06,4.37,4.37,3.95,6.87,1.87,1.66,4.89,1.35,1.46,0,5.2,0.94,0.1,13.73,1.87,0.21,0,0.1,1.77,1.25,3.12
22Month,0.14,0.68,0.68,4.51,0,0,0.14,0,0,6.01,0.82,6.56,0,35.53,0.55,0.55,50.7,0.14,0.14,1.37,1.5,0,1.5,0.41,0.14,0.55,0,4.51,0.14,0,0.14,0.27,0.27,0,0,0,0,0
