stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.69,0,0,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0.37,0,2.59,0,0,0,0.74,0.37,0,0,0,0.37,0.37,0,0,0,1.11,0,0,0,0,0,0,0
3Month,0.1,0,0,0.42,0,0,0,0.1,0.62,0.42,0.21,0.52,0.1,0.42,4.16,0.52,0,0,0.1,0,0.1,0,0,0,0,0.1,0.31,0,0,0.1,0.1,0.73
22Month,0,1.09,1.64,3.55,0.68,0.14,0.55,5.47,15.71,0.96,6.42,1.5,0.27,0.55,50.7,4.37,1.23,1.78,0.14,0.41,0,0.55,0.68,0.27,0,0.55,1.91,0.27,0.41,0,0,6.97
