stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Spermatocyte
24hpf,14,0,0,0,0,0,0,0,0,1,0
72hpf,6.76,0,0,0,0,0,0,0,0,0.28,0
21Day,2.22,0,0,0.37,0,0.37,0,0,0.37,0.37,0
3Month,0.31,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0.1
22Month,0,0.14,0.14,0,0.14,1.09,0,0.27,0.14,0,0
