stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,48,0,0,2,0,0,0,0,0,0,0,0
72hpf,22.55,3.66,10.43,2.25,18.04,0,0.28,0.85,0.28,0.28,0,0.28,0,4.79,30.16,1.69,25.08,0,1.13,0.85,2452.64,76.94,0.85,5.07,33.54,0.56,0,17.76,1.69,2.25,3.1,0,0
21Day,5.92,0.37,10.36,0.37,4.81,0,0.74,0.37,0,0.37,0,3.33,2.59,0,2.22,2.22,29.6,0.37,0,1.85,461.74,9.62,1.85,2.96,9.99,12.58,0,2.96,1.11,4.81,0.74,0,1.48
3Month,0.1,0.31,0.21,0,0,0.1,0,0.1,0,0.31,0.42,0,0.31,0.1,0.1,0,1.56,0.52,0,0,0.62,0,0.42,0.21,0.1,0,0.31,0.1,0,0,0,0.42,0
22Month,0,0,0,0,0,0,0,0.14,0,1.37,0.27,0.14,0,0,0,0.55,1.23,0,0,0,1.5,0,0.55,0,0,0,0.68,0.41,0,0,0.14,0,0
