stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.97,1.13,0.28,0,0.28,0,0.28,0,0,0,0,4.51,10.15,0.85,2.82,0,1.97,0,0,2.82,4.23,0,0,3.38,0,0,0.28,0,0.56,0,0,0
21Day,1.48,0,2.96,20.35,0,1.11,0,0,0,0,2.22,0.74,1.11,4.44,0.37,5.55,1.11,4.44,0,0.37,0.37,0,2.59,1.85,0.74,0,0.74,1.11,0,0.74,0.37,0.37,0,0,1.48
3Month,0,0.21,0.31,7.18,0,0,0.52,0.42,0,0,1.35,0,0,5.41,0.62,1.66,1.04,1.46,0.42,0,0.1,0.1,0.1,0,0.1,0,0,0.1,0.42,0,0,0,0.1,0.21,0.1
22Month,0,0.96,1.5,2.32,0,0,1.23,1.5,1.64,0,38.54,0.27,0,9.43,0,0.27,1.09,0.96,0,0.55,0.27,0,0.14,0.14,0.68,0.27,0.14,0.14,0.55,0,0,0,0.14,0,0
