stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0.74,0.74,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.42,0,4.47,0,0.62,4.16,0,0.31,0.52,4.68,0.1,0,0.21,0.21,0,0.1,0,0.1,0,0,0.1,0.21,0.31
22Month,0.14,0.14,4.92,0.14,1.5,0.68,0.27,0.41,0,2.32,0,0.14,0,0,0.14,0,0,0,0.27,0.14,0,0,0.14
