stage,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell
72hpf,0.28,0.56,0,0,7.05,0.28,0.28,0,0
21Day,0.37,0,0.37,0.37,4.44,0,0,0.37,0.37
