stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.61,0.56,0,1.13,0.85,0,0,0,0,0,0,0,0,0.28,1.41,0.28,50.73,0,0,14.09,0,4.51,2.25,0,12.12,0,0,0.28,0,0.28,0,0,0,0
21Day,7.4,0,0,8.51,1.11,0.37,0,0,0,0,0,1.11,0,0.37,0.37,0.74,68.08,0,0,49.58,0,3.7,1.48,0.37,4.44,1.85,0,0.37,0,1.48,0.37,0,0,0
3Month,0,0.21,0,13.42,0,0,0.1,0.31,0.62,2.29,0.1,0.21,1.25,0.1,25.48,0.21,5.82,7.8,0,0.73,0.1,0,0,0,0,0.21,1.14,0.1,0,0,0,0.1,0.42,0.52
22Month,0,0,0.14,2.87,0,0,0,0,0.41,6.83,0.55,0.27,0.41,0,5.88,0.41,2.73,1.23,0.14,0.27,0,0.14,0,0,0,0.14,0,0.27,0.14,0,0,0,0,0.14
