stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,2.22,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.42,0.31,4.26,0,0,0,0,0.1,0.94,0.52,2.6,25.59,0.1,0.94,0,0.31,0.73,1.56,0.31,0,0.21,0,0,0,0,0,0,0.21,0,0.1,0.94,0,0,0,0.21,0.1
22Month,0.82,13.25,4.37,27.33,0.14,0,0.55,1.37,4.1,43.86,452.58,195.27,47.28,2.46,41.68,1.91,5.06,13.8,16.67,0,6.29,2.87,0.27,3.14,0.55,4.65,1.5,1.78,0.41,1.09,0,1.09,3.96,3.69,0.14,1.78,8.61
