stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,21.14,0.28,0.85,0,0,2.54,5.36,4.79,0,0,0.56,0.28,0,0,0
21Day,0.37,0,0,5.92,0,0.74,0,0,0,0,0,0.74,0,0.37,0,0,0,0,35.52,0,0,1.85,0,4.81,2.96,9.62,0.74,0,0.37,0,0,0,0.37
3Month,0,0.73,0.1,3.02,0,0,0.31,0.1,0,0.52,0,28.6,0.52,0,0.62,0.1,0.62,0.21,13.42,2.39,0,0.42,0.1,0.1,0.1,0.42,0.1,0.31,0.52,0.52,0.21,0.1,0.52
22Month,0.27,0.82,0,3.69,0,0,0.27,0.27,0.14,0.41,0.27,56.71,0.27,0,0.82,0,0.14,0.82,16.12,0.55,0.82,0.68,0.14,0,0,0,0,0.14,1.5,0.14,0,0,0
