stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0.28,0,0,0,0.56,1.97,0,0,25.65,0,0,0,0,0,0
21Day,0.37,0.74,0.74,3.33,0.37,3.33,0.37,0,0,0,2.96,0.37,1.11,0,0.37,3.7,0.74,3.33,0,0,0,4.07,2.22,0,0.74,125.06,0,0.74,0.74,0,0,0.37
3Month,0,0.31,0.1,1.25,0,0,0,0.21,0.31,0,30.06,0.62,0,0.73,0,0.42,0.21,0.73,0.31,0.1,0.52,0,0,0.21,0.1,36.2,0.73,0,0,0.1,0.62,0.42
22Month,0,0,0.14,0.14,0,0,0,0.27,0,0.14,10.52,0.14,0,0.14,0.14,0,0,0.82,0,0.14,0,0.14,0,0,0,9.7,0.55,0,0,0,0,0.14
