stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,3,0,0,0,0,0,0,9,0,0,0,0,1,1,0,6,0,0,0,0,0,11,0,0,0,1,0,0,0,2,0,0,0
72hpf,0.28,0.28,0,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0.28,2.25,0.28,1.97,0,0.28,0,0,2.54,0,0,0,0,9.3,0.28,0,0.28,0.56,0,0,0
21Day,0,0,0,2.96,0,0,0,0.37,0,0,0,0.74,0,0,0,0.37,1.11,0,1.48,0,0,0.74,0,1.11,0.37,0,0.37,0,4.07,1.85,0.37,0,0.37,0,0,0
3Month,0,0.1,0,9.88,0.1,0.21,0,10.92,0.62,0,0,15.71,2.39,0,3.33,0.1,3.33,0.31,7.49,1.04,0,3.22,0.21,0.1,0,2.91,0,0,0.83,1.66,1.35,0.1,0.31,0.42,0.62,0.1
22Month,0,0.68,0.14,2.87,0,0,0,3.83,0.41,0.14,0,66.27,1.64,0.27,0.27,0.14,0.27,0.55,3.01,0,1.64,2.32,0,0.41,0.14,3.14,0.27,0.27,0.41,0.82,0.96,0.14,0,0.14,0,0
