stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,3.1,0.56,0.28,0,0,0,0,0,0,0,0,0.56,1.13,0,7.05,0,0,0,27.34,15.22,0.28,4.51,0,0,7.61,0.28,0,0.28,0,0
21Day,5.92,0.37,0.37,1.85,0,1.85,0,0,0,0.37,0,0,3.33,0.74,0,0.74,0,15.91,0,0,2.22,15.54,4.44,1.48,1.85,0.74,0,3.7,0.37,0.37,0.37,0,0.74
3Month,0.1,0.52,0.1,1.35,0,0,0.1,0.21,0.21,0,1.46,0.31,0,0.62,0,0.73,0.31,2.81,0.83,0,0.31,0,0,0.42,0.21,0.1,0.1,0.1,0,0,0,0.31,0.42
22Month,0,0.96,0,0.41,0,0,0,0.14,0.27,0.27,3.42,0.14,0,0.27,0,0.27,0.14,0.68,0.41,0.14,0,0,0,0.14,0.14,0,0.14,0.27,0,0,0.14,0,0.41
