stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,1.85,0,0,0,1.11,0,0.37,0,0.37,0,0
3Month,0,0.73,0,0.1,0.1,0.1,0.73,0.1,0.31,15.81,0.52,0.42,0.1,0.1,0.1,0.21,0.21,0,0.31,0.1
22Month,0,0,0,0.14,0,0,0.55,0,0,5.19,0.27,0.27,0.41,0,0,0,0,0,0,0
