stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0,0,0,1.41,0,2.54,0,0,0,6.2,1.13,0.56,0,0,0.28,0.28,0,0
21Day,1.48,0,1.11,0.37,0,0.37,0,0,0,0,0,0,0.37,0,3.33,0,1.48,0,1.11,1.11,0,0.37,0,0.37,0,0,0
3Month,0,0.73,2.81,0,0.1,0,0.94,0.73,0.1,0,6.97,0.42,0.73,0.42,1.14,0.1,0.73,0.42,0,0,0,0.21,0.42,0,0,0.1,0.1
22Month,0,0.14,0.14,0,0,0,0.27,0.55,0,0.14,3.14,0,0.14,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0.14
