stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,2,0,0,0,0,0,0,0,2,0,2,0,0,16,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,1.41,0,0.56,0,2.54,2.54,0,0,0.56,0,0,0.56,0,0
21Day,0.74,1.85,0.74,0,0,0,0.74,0,0.37,0.37,0,2.96,0.37,1.11,1.85,0,0,0.74,0.37,0,0.37,0.37,0.37
3Month,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.31,0,0,0
22Month,0,0.55,0,0.14,2.46,0.27,0,0.55,0,0.14,1.23,0.55,0,0,0,0.14,0.14,0,0,1.09,0,0,0
