stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0.56,0,0.28,0,0.28,0,0
21Day,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0
3Month,0,0.52,0.1,0.21,0,1.25,0.21,0,1.87,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.1
22Month,0.14,0.68,0,0.27,0.14,3.69,0.14,0.14,4.24,0,0.27,0,0,0.14,0.14,0,0,0.55,0,0.14,0,0,0.27
