stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0.85,0,0,0.28,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.48,1.11,0,0,0,0,0,0,0,0
3Month,0.1,0,0.1,1.35,0.1,0.31,0.52,2.08,0.62,0.21,0.1,0.21,0.52,0.31,1.56,0.21,0.21,0.21,0.73,0,0,0.1,0,0.42,15.19,0.1,52.32,0.21
22Month,0,0.14,0,0,0,0.14,0.27,2.19,0,0.14,0.41,0,0.14,0.27,0.68,0,0,0,0.41,0.14,0.14,0,0,0,1.78,0,0.14,0.14
