stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.56,1.97,0,1.69,0,0,0,0,0,0.28,0,1.69,0.56,2.54,0,0,0,2.25,4.23,0.28,0,2.82,0,0,0.56,0,0,0,0,0
21Day,1.11,0,5.55,0.37,2.59,0,0,0,0,0,0,0,3.7,0.37,7.77,0,1.11,0,0.37,1.11,0,0,1.48,0.37,0,0.37,0.37,0.37,0,0,1.11
3Month,0,0.31,0.94,0,0,0.1,0.21,0.1,0.52,0.31,0.1,0.31,0.42,0,0.42,0,0.31,0.21,0.1,0.1,0.21,0.1,0,0.1,0.1,0,0,0,0.21,0.1,0.52
22Month,0,0.82,0.68,0,0,0,0,0,3.14,0.27,0.14,0.41,0,1.23,0.27,0.27,0.27,0,0.14,0,0,0,0,0,0.14,0.14,0,0,0,0,0.14
