stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0,1.69,0,0,2.54,0,0,0.28,5.36,0.56,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0,0,3.33,0.37,0.74,0.37,0,0,0,0,0,0,0,0,0.74,0,4.44,0,0.37,0,15.54,1.48,0,0,3.33,0.37,0,0,0.74,1.85,1.48,0,0
3Month,0,0.31,0.94,0,0,0,0,0.21,0,2.18,0,0.1,0.31,0.1,0,0.1,3.02,0.94,0.1,0,1.14,0,0.21,0,0,0,4.78,0.1,0,0,0,0.42,0.31
22Month,0,0.27,0.68,0,0,0,0.14,0.68,0.14,6.83,0.27,0,0.82,0,0.14,1.09,3.96,0.14,0,0,2.05,0,0,0.14,0,0,1.09,0.55,0.14,0,0,0,0
