stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0.56,1.69,0,0,0,0,0,0,0,0,0
21Day,67.34,12.21,12.21,237.9,7.4,144.29,0,32.93,1.11,6.66,42.92,5.18,85.47,31.82,20.35,133.94,45.51,258.99,0,0.37,28.86,1.11,295.25,134.68,5.92,9.99,107.67,1179.52,0,0.37,27.01,17.39,46.62,11.47,1.48,0,40.7
3Month,0.1,0.73,0.1,5.62,0,0,0.21,0.1,1.87,3.22,10.51,3.64,0.1,3.74,1.14,2.5,2.7,2.18,0.52,0.21,1.14,0.42,0.31,0.21,0.21,0.31,0.1,196.18,2.18,4.26,0,0.1,0,0,0.94,3.02,1.66
22Month,0,0.14,0,0.55,0,0,0,0,0.41,3.28,3.01,0.27,0,0.41,0,0.14,0.68,0.82,0.14,0.27,0.14,0,0.27,0,0,0.41,0,30.47,0,0.27,0.14,0,0,0,0.14,0,0.14
