stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,4.51,0,0,0,0,0,0,0,0,0,0,0,27.34,0,0.56,0,0,0,0,1.69,0.85,0,0,0.28,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,5.18,5.55,0,0,0,0,0,0,0.37,0,0,1.11,0.37,20.35,0.37,0.37,0,0,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0.37,0,0,0,1.11
3Month,0.31,1.25,1.77,160.91,2.18,0.52,0.42,4.26,3.02,0.1,0,22.05,3.12,1.56,17.27,4.06,32.56,4.58,6.97,1.77,0.21,3.22,1.04,1.14,0.21,1.77,0.31,0.21,1.04,5.3,0.21,0.1,0,0.21,1.77,2.81,4.58
22Month,0.27,1.37,0.68,25.28,1.5,0.14,0.27,1.78,0.96,0.14,0,21.59,0.68,0.41,5.6,0.96,9.16,1.64,3.69,0,1.5,0.55,0,0.14,0.27,0.55,0.27,0.27,0.14,3.01,0.41,0.41,0,0.14,0,0,0.14
