stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0.28,0,2.54,0,0.28,0,1.13,1.41,0,3.38,0,0.28,0.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,3.7,0,0.74,0,0.74,0.37,0,4.44,0.37,0,0,0.37,0
3Month,0,0.31,0,0,0.21,0,0.1,0,0.1,0,0.42,0.52,0,0.1,0,0,0,0.1,0,0,0,0,0.21
22Month,0,0.41,0,0.14,0.27,0.27,2.6,0.41,0,0,0.68,0.14,0,0,0,0.14,0.41,0,0.14,0.41,0.82,0,0
