stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,2.54,0,0,0,0.28,0,6.2,0,0,0.28,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,5.18,0.37,0.37,0,0,0,5.92,1.11,0,0.37,0,0
3Month,0.42,1.04,1.77,0.1,0,0.1,0,0.52,0.1,2.5,1.25,0.1,0.31,0,0.73,0.52,56.59,6.66,3.22,0.21,0.1,0.1,1.04,0.1,0.1,0.31,0.21,0.21
22Month,0,0.14,0.55,0,0,0,0.14,0,0.14,0,1.78,0,0.14,0,0.14,0,3.83,0,0.27,0,0.14,0,0,0.14,0,0,0,0.14
