stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0
72hpf,5.64,0.28,0.85,3.1,1.97,0,0,0,0,0,0,0,0.28,1.69,0.56,3.66,0,0,0,0,122.6,3.66,0.28,6.2,0,0,1.69,1.13,0.28,9.02,0,0,0
21Day,2.96,0,8.14,0.37,0.37,0,0,0,0.37,0,0.74,0,0.37,6.29,0,7.4,0,0,2.59,0,37,2.96,0,1.85,2.22,0.74,0.74,0.37,1.11,3.7,0,0,0
3Month,0,0.21,11.96,0.1,0,0,0.21,0.1,1.98,0.42,0,0.73,0.31,0.62,0.21,1.14,0.52,0,0,0.1,0.62,0.1,0,0,0.1,5.93,0.21,0.1,0,0.42,2.6,0.83,0.1
22Month,0,0,2.87,0,0,0.14,0.55,0.14,5.88,0,0.14,0.14,0,0.55,0.55,2.05,0,0.27,0.14,0,1.09,0.27,0.14,0,0,5.06,1.09,0.55,0,0.14,1.09,0,0
