stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0,1.13,0,0,0,0,0,0,2.82,9.3,0,0,0,0,1.69,0.28,0,0,0.28,0,0,0,0,0
21Day,0.37,11.1,0.37,0,0,0,0,1.85,0.37,3.7,0,0,0,0,0.74,0,0.37,0,0,0.37,0,0,0,0.37
3Month,0.31,10.19,0,2.7,0.21,0.83,0.31,5.41,0.31,0.1,0.31,0,0.1,0.52,0,0,0.31,0.1,0.1,0,1.35,0.1,7.7,0.21
22Month,0.14,0.82,0,0.96,0.14,1.5,0,4.78,0,0,0,0.27,0,0.14,0,0,1.5,0,0,0,0.41,0,0,0
