stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,2.54,0.28,0,0,0,0,0.28,0,0,0
21Day,2.59,0,0.37,0,0,0,0.74,4.81,0,0,1.85,0,0,0,0,0,0,0.37,0,2.22
3Month,0.1,0.31,0,0,0.21,15.6,0.21,0,0.21,0.1,0.62,0.31,0.1,0.1,0.1,0.62,0,0,0.21,5.51
22Month,0,0,0,0.14,0,6.29,0.14,0,0,0,4.1,0.14,0,0.96,0,0,0,0,0,5.19
