stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.54,0,0,0,0,0,0,0,0,71.03,0,0.28,0,0,0,3.66,0.85,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0,0.37,27.38,1.11,0.37,0,0,0,0.37,0.37,0.74,139.49,6.66,2.22,0,1.11,0,3.33,2.22,0,0.37,1.85,0.74,0,0,0.74,0,0.37
3Month,0,0.52,0.21,26.11,0,0,0.52,2.29,0.73,0.31,1.46,1.25,0.62,5.2,0.62,0.21,0,0.1,0,0,0,0,0,0.21,3.33,0,0,38.49,0.52
22Month,0,0,0,1.91,0,0,0,1.64,0,0,0.41,0,0.14,3.42,0.14,0,0,0,0,0,0.27,0,0,0,4.37,0.14,0,0,0
