stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,1.69,1.97,0,0,0,0,0,0,0,0,0.56,3.66,0,1.69,0,0,0,0,1.41,4.51,0,1.97,0,0,0,0,0,0,0,0
21Day,0.74,0.37,0,6.29,0,0,0,0,0,0,0,0,0,0.74,7.03,0,4.44,0,0,0.37,0,1.11,0.37,0,1.11,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,3.43,0.1,0,0,0.42,0.1,0,0,4.06,0.21,0.21,0.42,0.1,0.94,0.31,0.1,0.21,0.1,0.1,0,0.42,0,0,2.08,0,0,0,0.1,3.85,0
22Month,0,0.68,0,2.6,0,0.14,0.14,0.68,0.27,0.82,0,35.94,0.55,0.14,0.27,0,1.23,0,1.23,0.14,0,0,0.14,0.41,0,0.14,0.41,0.27,0.14,0,0,0,0.14
