stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.85,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0.37,2.22,0,0,0,0,0
3Month,0,0.1,0.1,3.33,0,0.1,0.83,0.31,3.54,1.04,0.1,1.56,0.1,0.83,1.35,18.31,0,0.31,0.42,0.21,0.1,0.52,0,0,0,1.77,177.97,0.31,0.1,1.14,41.19,0.83
22Month,0.14,0.14,0,0.68,0,0,0.14,0.27,28.42,0.14,0,0.68,0.14,0,0.41,1.5,0.55,0,0,0,0,0,0.14,0.14,0.14,0,20.77,0.14,0,0,0.27,0
