stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
21Day,0,0,0,0,0,1.11,0,0.37,0.37,0,0,4.81,0.37,0.37,0,0,1.85
3Month,0.21,0,0.1,0,0.31,0.1,0.1,0,0,0.21,0,0.1,0,0,0.1,0.1,1.14
22Month,0,0,0,0.14,0.68,0,0.27,0,0.14,0.14,0.14,0,0,0,0,0,0.14
