stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,6.76,0.56,0,3.1,4.79,0,0,0,0,0,0,0,1.13,6.2,0.85,3.95,0.56,0.56,589.91,12.4,0.28,1.13,5.36,0,0,1.97,0,0,0.28,0,0,0
21Day,2.59,0,0,7.03,8.88,0.74,0.37,0,2.22,0.37,1.11,2.96,0.37,4.44,1.11,6.66,0,0.74,258.25,3.33,0.37,2.96,3.7,6.66,0,3.33,0.74,1.11,0.74,0,0,0.74
3Month,0,0,0,0.42,0,0,0.1,0,0.31,0.21,0,0.31,0,0,0.52,0.52,0,0,1.56,0,0.31,0.1,0,0.21,0.21,0.1,0,0,0,0.1,0.42,0.1
22Month,0,0,0.27,0.14,0,0,0.96,0.27,4.92,0.14,0,0.14,0,0,0.41,0.41,0,0,5.06,0,0.68,0.14,0,0,0.96,0.68,0,0,0,0,0,0.14
