stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,5.92,4.23,5.36,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0.28,0,0,41.43,3.1,0,4.79,0.85,0,0,0,0,0,0.28,0,0,0
21Day,1.11,0,0,22.57,5.92,3.7,0,0,0,0.37,0,1.11,0,0,4.81,0,2.59,0,0.74,0.74,0,47.73,2.59,0.37,12.95,1.11,1.48,0.37,0.37,0.37,1.11,0,0,0,0
3Month,0,0.31,0.31,22.47,4.47,0,0.42,0.31,0.73,2.29,1.04,0.1,1.98,0.31,3.54,0.83,1.14,0.62,0.1,3.12,0.1,1.56,0.1,0,21.74,0,0.73,15.6,0,0,0,0,0.31,8.01,0.73
22Month,0.14,0.14,0.14,8.34,0.96,0,0.14,0,0.14,3.01,0.14,0,0,0,0.96,0.68,1.09,0,0.55,0.96,0,2.32,0.14,0,39.9,0,0.27,1.37,0.41,0,0,0,0,0,0.14
