stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,1.13,1.13,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,5.18,0,0.74,5.92,0.74,0.37,0,0,0,0,0,0,0,0,0,4.07,0.37,0,2.59,2.22,2.22,0,0,0.37,0,5.55,1.11,0,0,0.37,0.37,0,0.37,0.37,0,0,3.7
3Month,0.21,0.21,0.83,4.37,0.1,0,0.21,0.31,0,1.56,4.26,0,0,3.54,8.22,0.83,3.43,0.1,1.66,6.14,0.52,0.31,0,0.73,0.1,0.21,0,0.31,0.1,0.1,0.1,0.62,0.31,0,0.42,0.31,8.22
22Month,0,0.82,0,2.87,0,0,0.55,0.41,0.14,0.27,9.16,0.41,0,7.52,2.46,1.23,3.14,0.14,0.41,6.29,1.23,0,0.27,0.55,0,0,0.14,0.27,0,0,0,0.27,0.27,0,0,0,3.42
