stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell
72hpf,0,0,0,0,0,0,0,0,1.13
21Day,0.37,0.74,0.74,0,0.37,0,0,0,1.85
3Month,0,0,0,0.1,0,0.1,0,0.1,0.62
22Month,0,0,0,0,1.64,0,0.41,0.14,0.27
