stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,1.13,1.97,0,0,0,0,0
21Day,0.37,0,2.22,0.37,0.74,0.74,0.37,0,0.37,0,0,0,0,1.85,0.37,2.59,0,1.48,0.37,0.37,0.74,0.37,0.37
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
22Month,0,0.14,0.41,0,0,0,0.14,0.14,2.19,0.14,0.14,0.27,0,0,0.14,0.14,0.14,0,0,0,0,0,0
