stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0.28,0,25.37,1.69,0.85,0.28,0.28,0,0,0
21Day,0.74,2.59,0,0,0,0,0,0.37,0,0,1.11,0,1.48,0,21.83,0.74,3.33,0.37,0.74,0.37,0,0
3Month,0.83,0,0.21,0.1,0.21,1.35,0.42,0,0.31,0,0.42,0.1,0,0,0.31,0,0.94,0,0,0,0.1,0.52
22Month,0.55,0,0,0,0.55,7.52,0.27,0,1.5,0,0.27,0.27,0.14,0.14,0.27,0,0.96,0.14,0,0,0,0
